Citation Number,Citation Issued DateTime,Violation,Violation Description,Citation Location,Vehicle Plate State,Vehicle Plate,Fine Amount,Date Added,geom,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
771857995,10/27/2022 03:36:00 PM,T32A.1,TWAWY ZN#1,669 MISSION ST,CA,6ANP484,83,10/27/2009 12:00:00 AM,POINT (-122.40131583199997 37.78670342300006),32,32,1,10,8
771104246,09/14/2022 11:05:00 AM,V5204A,REG TABS,7 GROVE ST,CA,5FEK647,63,09/14/2009 12:00:00 AM,POINT (-122.41511664599994 37.77876024500006),21,21,5,10,36
770561131,09/10/2022 03:30:00 PM,T202,PRK METER,2851 24TH ST,CA,6DEG966,53,09/10/2009 12:00:00 AM,POINT (-122.40919778399996 37.752743407000025),53,53,3,2,20
770024076,09/07/2023 03:21:00 PM,T202,PRK METER,417 BAY ST,CA,6DKY758,53,09/07/2009 12:00:00 AM,POINT (-122.41413599899994 37.80540600300003),106,106,6,3,23
770025093,09/09/2023 01:23:00 PM,T58A,BLK WHEELS,136 LAWTON ST,CA,4JTL645,48,09/09/2009 12:00:00 AM,POINT (-122.46446999799997 37.75869600400006),109,109,10,8,14
770928653,09/17/2023 09:40:00 AM,T37C,ST CLEANIN,2600 JACKSON ST,CA,5ZYR106,53,09/17/2009 12:00:00 AM,POINT (-122.43808502399997 37.792236986000034),102,102,4,6,30
770634815,09/10/2023 01:09:00 PM,T37C,ST CLEANIN,39 CONKLING ST,CA,5MRT833,53,09/10/2009 12:00:00 AM,,,,,,
770611041,09/09/2023 10:26:00 AM,T33.3,TRK LDG ZN,23 02ND ST,CA,7S57701,73,09/09/2009 12:00:00 AM,POINT (-122.41963999999996 37.777120000000025),21,21,4,10,36
771225652,09/17/2022 09:56:00 AM,T37C,ST CLEANIN,3529 WASHINGTON BLVD,CA,5RWK075,53,09/17/2009 12:00:00 AM,,,,,,
770425110,09/11/2022 04:03:00 PM,T202,PRK METER,530 HAYES ST,CA,6BQA217,53,09/11/2009 12:00:00 AM,POINT (-122.42519303699999 37.77667024100003),22,22,4,11,9
770595663,09/08/2009 11:06:00 AM,T202,PRK METER,3219 SCOTT ST,CA,7V41487,53,09/08/2009 12:00:00 AM,POINT (-122.44109839899994 37.79941490200008),17,17,4,6,13
768791365,09/15/2009 09:26:00 AM,T37C,ST CLEANIN,629 NORIEGA ST,MA,7170NA,53,09/15/2009 12:00:00 AM,,,,,,
770288024,09/09/2009 12:57:00 PM,V22500H,DBL PARK,2987 CLAY ST,CA,6M18124,78,09/09/2009 12:00:00 AM,,,,,,
772900402,10/26/2009 06:34:00 AM,T37C,ST CLEANIN,956 POST ST,CA,6APN572,53,10/26/2009 12:00:00 AM,POINT (-122.41763100099996 37.78740800300005),50,50,6,3,21
773014071,10/23/2009 07:17:00 AM,T37C,ST CLEANIN,1746 20TH AVE,CA,5GSH950,53,10/23/2009 12:00:00 AM,POINT (-122.47732297599998 37.75528498800003),39,39,10,7,35
772980633,10/26/2009 01:08:00 PM,T202,PRK METER,1 AVILA ST,CA,6CXJ689,53,10/26/2009 12:00:00 AM,POINT (-122.44037753299995 37.80034569500003),17,17,4,6,13
770878975,09/10/2009 11:18:00 PM,T38C,WHITE ZONE,440 GEARY ST,CA,6GOF832,88,09/10/2009 12:00:00 AM,POINT (-122.41063202799995 37.78733998400003),50,50,6,3,36
769509403,09/02/2009 03:08:00 PM,T202,PRK METER,79 GREEN ST,CA,4JMY015,53,09/02/2009 12:00:00 AM,POINT (-122.40111960399997 37.80042451700007),77,77,6,3,8
772955396,10/23/2009 10:33:00 AM,T37C,ST CLEANIN,717 ELIZABETH ST,CA,5WZT556,53,10/23/2009 12:00:00 AM,,,,,,
770734204,09/09/2009 09:37:00 AM,T37C,ST CLEANIN,120 VIDAL DR,CA,6AQD123,53,09/09/2009 12:00:00 AM,POINT (-122.484828274 37.72058756000007),42,42,10,8,16
771256581,09/18/2009 03:12:00 AM,T37C,ST CLEANIN,901 TARAVAL ST,CA,6N90192,53,09/18/2009 12:00:00 AM,POINT (-122.47586997299999 37.74279398300007),40,40,10,7,35
